N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
189,롯데관광개발,"15,950",400,+2.57%,500,"11,049","69,276",5.02,"1,308,479",-23.42,-4.77,
190,LG전자우,"63,400",900,+1.44%,"5,000","10,896","17,186",37.09,"518,271",13.77,N/A,
191,효성티앤씨,"250,000","22,000",+9.65%,"5,000","10,819","4,328",17.62,"281,381",12.69,20.86,
192,다우기술,"24,000",200,-0.83%,500,"10,768","44,867",22.71,"456,243",3.86,14.62,
193,보령제약,"22,550",550,+2.50%,500,"10,738","47,620",7.40,"3,006,713",40.41,11.96,
194,티와이홀딩스,"28,450",900,+3.27%,500,"10,669","37,501",7.95,"303,185",N/A,N/A,
195,LG상사,"26,650",300,-1.11%,"5,000","10,330","38,760",22.45,"250,890",7.26,2.49,
196,영풍,"544,000","1,000",+0.18%,"5,000","10,021","1,842",4.69,"2,318",5.41,7.40,
197,GKL,"16,200",450,-2.70%,500,"10,021","61,856",6.46,"701,091",-75.35,12.62,
198,코스맥스,"99,700",300,-0.30%,500,"10,019","10,050",24.28,"199,826",24.68,10.45,
199,CJ CGV,"28,450",600,-2.07%,500,"9,986","35,100",5.85,"735,712",-1.53,-57.60,
200,휴켐스,"24,300",300,-1.22%,"1,000","9,933","40,879",8.56,"212,947",20.61,10.82,
